category,cr_name,cr_price_pln,cr_url,bi_name,bi_price_pln,bi_url,match_confidence,matched_at
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8250 Di2,2049.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8250-di2-pd49345/,RD-M8250 Deore XT SGS rear derailleur,1687.99,https://www.tradeinn.com/bikeinn/pl/shimano-rd-m8250-deore-xt-sgs-rear-derailleur/142242021/p/,0.95,2026-03-05T07:48:58.226232+00:00
przerzutki,Przerzutka tylna SRAM XX1 Eagle AXS,2599.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-xx1-eagle-axs-pd20369/,XX1 Eagle rear derailleur,1082.99,https://www.tradeinn.com/bikeinn/pl/sram-xx1-eagle-rear-derailleur/137670850/p/,0.95,2026-03-05T07:48:59.524588+00:00
przerzutki,Przerzutka tylna SRAM GX Eagle Type 3 ,389.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-type-3-pd16721/,GX Eagle rear derailleur,444.99,https://www.tradeinn.com/bikeinn/pl/sram-gx-eagle-rear-derailleur/141363706/p/,0.95,2026-03-05T07:49:04.737261+00:00
przerzutki,Przerzutka tylna SHIMANO SLX RD-M7100,199.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-slx-rd-m7100-pd20164/,SLX M7100 Shadow RD+ Direct rear derailleur,292.99,https://www.tradeinn.com/bikeinn/pl/shimano-slx-m7100-shadow-rd-direct-rear-derailleur/137257605/p/,0.95,2026-03-05T07:49:08.638135+00:00
przerzutki,Przerzutka tylna SHIMANO Deore XT Linkglide RD-M8130-SGS,279.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-linkglide-rd-m8130-sgs-pd30846/,Deore XT M8130 Linkglide rear derailleur,360.99,https://www.tradeinn.com/bikeinn/pl/shimano-deore-xt-m8130-linkglide-rear-derailleur/138154222/p/,0.95,2026-03-05T07:49:12.527535+00:00
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8100,304.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8100-pd20217/,Deore XT M8100-GS Shadow RD+ rear derailleur,362.99,https://www.tradeinn.com/bikeinn/pl/shimano-deore-xt-m8100-gs-shadow-rd-rear-derailleur/138344472/p/,0.95,2026-03-05T07:49:16.522747+00:00
przerzutki,Przerzutka tylna SHIMANO XTR RD-M9100,619.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-xtr-rd-m9100-pd18861/,XTR M9100 Shadow RD+ Direct rear derailleur,809.99,https://www.tradeinn.com/bikeinn/pl/shimano-xtr-m9100-shadow-rd-direct-rear-derailleur/136866659/p/,0.95,2026-03-05T07:49:22.973368+00:00
przerzutki,Przerzutka tylna SRAM X01 Eagle,899.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-x01-eagle-pd15978/,X01 Eagle rear derailleur,808.49,https://www.tradeinn.com/bikeinn/pl/sram-x01-eagle-rear-derailleur/137670848/p/,0.95,2026-03-05T07:49:40.200740+00:00
przerzutki,Przerzutka tylna SHIMANO Deore XT Di2 RD-M8150,1299.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-di2-rd-m8150-pd39748/,Deore XT Di2 M8150-12 rear derailleur,1261.49,https://www.tradeinn.com/bikeinn/pl/shimano-deore-xt-di2-m8150-12-rear-derailleur/140007176/p/,0.95,2026-03-05T07:49:45.093043+00:00
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8260-11L Di2,1589.0,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8260-11l-di2-pd49346/,Deore XT Di2 RD-M8260 rear derailleur,1610.49,https://www.tradeinn.com/bikeinn/pl/shimano-deore-xt-di2-rd-m8260-rear-derailleur/142391298/p/,0.95,2026-03-05T07:49:49.091283+00:00
