category,cr_name,cr_price_pln,cr_url,bd_name,bd_price_eur,bd_url,match_confidence,matched_at
hamulce,Hamulce tarczowe SRAM DB8,349.99,https://www.centrumrowerowe.pl/hamulce-tarczowe-sram-db8-pd44653/,DB8 Stealth Disc Brake Set,159.99,https://www.bike-discount.de/en/sram-db8-stealth-disc-brake-set,0.95,2026-03-03 10:56:08.387091
hamulce,Hamulec tarczowy SHIMANO Deore XT BL-M8100 / BR-M8100,329.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-deore-xt-bl-m8100-br-m8100-pd20235/,XT BR-M8100 Disc Brake Set,179.99,https://www.bike-discount.de/en/shimano-xt-br-m8100-disc-brake-set,0.95,2026-03-03 10:56:04.182141
hamulce,Hamulec tarczowy SHIMANO Deore XT BL-M8100 / BR-M8120,499.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-deore-xt-bl-m8100-br-m8120-pd20236/,XT BR-M8120 Disc Brake Set,216.99,https://www.bike-discount.de/en/shimano-xt-br-m8120-disc-brake-set,0.95,2026-03-03 10:56:17.300499
hamulce,Hamulec tarczowy SHIMANO Deore XT BL-M8200/BR-M8200,564.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-deore-xt-bl-m8200-br-m8200-pd49355/,XT BL-M8200/BR-M8200 Disc Brake Set,279.99,https://www.bike-discount.de/en/shimano-xt-bl-m8200/br-m8200-disc-brake-set,0.95,2026-03-03 10:57:09.213152
hamulce,Hamulec tarczowy SHIMANO Deore XT BL-M8200/BR-M8220,639.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-deore-xt-bl-m8200-br-m8220-pd49356/?v_Id=264649,XT BL-M8200/BR-M8220 Disc Brake Set,339.99,https://www.bike-discount.de/en/shimano-xt-bl-m8200/br-m8220-disc-brake-set,0.95,2026-03-03 10:57:01.635079
hamulce,Hamulec tarczowy SHIMANO SLX BL-M7100 / BR-M7100,264.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-slx-bl-m7100-br-m7100-pd20158/,SLX BR-M7100 Disc Brake Set,159.99,https://www.bike-discount.de/en/shimano-slx-br-m7100-disc-brake-set,0.95,2026-03-03 10:55:57.838841
hamulce,Hamulec tarczowy SHIMANO SLX BL-M7100 / BR-M7120,369.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-slx-bl-m7100-br-m7120-pd20157/,SLX BR-M7120 Disc Brake Set,199.99,https://www.bike-discount.de/en/shimano-slx-br-m7120-disc-brake-set,0.95,2026-03-03 10:56:13.325910
hamulce,Hamulec tarczowy SHIMANO Saint BL-M820 / BR-M820,615.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-saint-bl-m820-br-m820-pd7614/,SAINT BR-M820-B Disc Brake Set,319.99,https://www.bike-discount.de/en/shimano-saint-br-m820-b-disc-brake-set,0.95,2026-03-03 10:56:40.438909
hamulce,Hamulec tarczowy SHIMANO XTR BL-M9120 / BR-M9120,829.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-xtr-bl-m9120-br-m9120-pd18875/,XTR BL-M9120/BR-M9120 Disc Brake rear J-Kit,149.99,https://www.bike-discount.de/en/shimano-xtr-bl-m9120/br-m9120-disc-brake-rear-j-kit,0.95,2026-03-03 10:56:54.876740
hamulce,Hamulec tarczowy SHIMANO XTR BL-M9200 / BR-M9200,749.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-xtr-bl-m9200-br-m9200-pd49086/,XTR BL-M9200/BR-M9200 Disc Brake Set,389.99,https://www.bike-discount.de/en/shimano-xtr-bl-m9200/br-m9200-disc-brake-set,0.95,2026-03-03 10:56:47.093694
