category,cr_name,cr_price_pln,cr_url,rw_name,rw_price_pln,rw_url,match_confidence,matched_at
przerzutki,Przerzutka tylna SHIMANO Deore RD-M4120,94.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-rd-m4120-pd22292/,Przerzutka tylna Deore RD-M4120 (10 biegów),162.13,https://rowerowy.com/sklep/czesci/przerzutka-tyl/shimano/prod/shimano-rd-m4120,0.95,2026-03-03T15:27:52.789556+00:00
przerzutki,Przerzutka tylna SRAM XX1 Eagle AXS,2599.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-xx1-eagle-axs-pd20369/,Przerzutka elektryczna tylna XX1 Eagle AXS 1x12 speed,4899.0,https://rowerowy.com/sklep/czesci/przerzutka-tyl/sram/prod/sram-xx1-eagle-asx-rear,0.95,2026-03-03T15:27:53.388837+00:00
przerzutki,Przerzutka tylna SHIMANO Deore RD-M5120,124.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-rd-m5120-pd23967/,Przerzutka Deore RD M5120 tył 10/11 rzędów,164.82,https://rowerowy.com/sklep/czesci/przerzutka-tyl/shimano/prod/rd-m5120,0.95,2026-03-03T15:27:53.992539+00:00
przerzutki,Przerzutka tylna SHIMANO SLX RD-M7100,199.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-slx-rd-m7100-pd20164/,Przerzutka SLX RD M7100 tył 12 rzędów,305.77,https://rowerowy.com/sklep/czesci/przerzutka-tyl/shimano/prod/rd-m7100,0.95,2026-03-03T15:27:55.322547+00:00
przerzutki,Przerzutka tylna SHIMANO Deore XT RD-M8100,304.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-deore-xt-rd-m8100-pd20217/,Przerzutka XT RD-M8100 tył 12 rzędów,424.66,https://rowerowy.com/sklep/czesci/przerzutka-tyl/shimano/prod/rd-m8100,0.95,2026-03-03T15:27:58.190421+00:00
przerzutki,Przerzutka tylna SHIMANO Saint RD-M820,464.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-saint-rd-m820-pd7620/,Przerzutka tylna SAINT RD-M820 (10 biegów),593.08,https://rowerowy.com/sklep/czesci/przerzutka-tyl/shimano/prod/shimano-saint-derailleur,0.95,2026-03-03T15:28:13.448363+00:00
przerzutki,Przerzutka tylna SHIMANO XTR RD-M9100,619.99,https://www.centrumrowerowe.pl/przerzutka-tylna-shimano-xtr-rd-m9100-pd18861/,Przerzutka XTR RD-M9100 tył 12 rzędów,1003.7,https://rowerowy.com/sklep/czesci/przerzutka-tyl/shimano/prod/rd-m9100,0.95,2026-03-03T15:28:14.881654+00:00
przerzutki,Przerzutka tylna SRAM X01 Eagle,899.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-x01-eagle-pd15978/,Przerzutka tylna X01 Eagle 1x12 speed,1199.0,https://rowerowy.com/sklep/czesci/przerzutka-tyl/sram/prod/sram-x01-eagle-rear,0.95,2026-03-03T15:28:29.423848+00:00
przerzutki,Przerzutka tylna SRAM GX Eagle AXS,1299.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-axs-pd25562/,Przerzutka elektryczna tylna GX Eagle AXS 1x12 speed,3099.0,https://rowerowy.com/sklep/czesci/przerzutka-tyl/sram/prod/sram-gx-eagle-asx-rear,0.95,2026-03-03T15:28:40.025508+00:00
przerzutki,Przerzutka tylna SRAM GX Eagle AXS Transmission T-Type,1589.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-axs-transmission-t-type-pd36303/,Przerzutka elektryczna tylna GX Eagle AXS 1x12 speed,3099.0,https://rowerowy.com/sklep/czesci/przerzutka-tyl/sram/prod/sram-gx-eagle-asx-rear,0.95,2026-03-03T15:28:53.081659+00:00
